Reka,Dužina,Površina
Dunav,2888,817000
Tisa,1026,157020
Sava,990,95719
Velika Morava,493,35419
Drina,487,19570
Tamiš,359,13085
Drim,335,11756
Južna Morava,295,15469
Kolubara,123,3639
Uvac,119,1310
Zlatica,117,1470
Karaš,110,1400
Krivaja,109,956
Rasina,92,994
Sitnica,90,3129
Tamnava,90,930
Pusta reka,71,569
Radika,70,665
Vlasina,68,1050
Resava,65,685
Pećka Bistrica,62,505
Studenica,60,582
Raška,60,1193
Sokobanjska Moravica,58,606
Lugomir,57,447
Jerez,56,503
Drenica,51,447
Ibar,276,8059
Begej,254,2878
Lim,220,5963
Nišava,218,3950
Timok,203,4630
Bosut,186,3097
Brzava,166,1190
Pek,158,1236
Toplica,130,2600
Mlava,129,2330
Pčinja,128,3140
Nera,124,1420
Ralja,51,310
Erenik,51,516
Porečka reka,50,538
Trgoviški Timok,50,520
Zapadna Morava,308,15849
Beli Drim,175,4300
Beli Timok,115,2167
Golijska Moravica,98,1486
Svrljiški Timok,64,720
Temštica,86,820
Jablanica,85,895
Jasenica,79,1343
Jadar,79,894
Gruža,77,622
Lepenac,75,770
Đetinja,75,1486
Veternica,75,515
Lab,72,950
Rzav (Zlatibor),72,605
